frame,smile_vertical_asymmetry_px,mouth_horizontal_asymmetry_px,eye_horizontal_asymmetry_px,general_symmetry_score,facial_droop_flag,severity_score
frame_0000.jpg,6.69,2.63,26.6,20.19,1,22.12
frame_0001.jpg,6.3,2.51,26.15,19.5,1,21.18
frame_0002.jpg,6.4,1.37,29.5,21.81,1,21.97
frame_0003.jpg,7.82,4.83,23.38,16.92,0,22.72
frame_0004.jpg,9.74,4.32,21.59,18.79,1,25.5
frame_0005.jpg,9.69,7.24,17.1,13.81,0,24.33
frame_0006.jpg,9.88,5.02,25.68,19.3,1,26.5
frame_0007.jpg,8.94,0.55,31.48,23.37,1,24.92
frame_0008.jpg,8.86,0.31,31.02,23.23,1,24.58
frame_0009.jpg,8.96,1.15,33.01,23.84,1,25.72
frame_0010.jpg,8.71,0.59,30.34,22.27,1,24.0
frame_0011.jpg,8.22,3.52,30.66,21.46,1,25.16
frame_0012.jpg,7.01,1.6,30.52,21.62,1,22.62
frame_0013.jpg,7.82,0.37,31.48,23.57,1,23.8
frame_0014.jpg,9.15,2.08,32.05,22.81,1,25.92
frame_0015.jpg,6.53,1.84,31.91,24.06,1,23.95
frame_0016.jpg,0.15,11.55,17.37,17.31,0,20.35
frame_0017.jpg,2.96,15.8,17.21,20.61,1,28.55
frame_0018.jpg,6.1,22.81,15.07,22.31,1,38.08
frame_0019.jpg,3.22,18.85,17.75,22.88,1,32.6
frame_0020.jpg,1.54,18.93,19.24,24.59,1,32.14
frame_0021.jpg,3.49,18.42,15.74,22.56,1,32.34
frame_0022.jpg,0.8,15.15,14.19,19.75,1,25.34
frame_0023.jpg,3.41,19.76,14.0,19.47,1,31.2
frame_0024.jpg,10.71,18.74,7.71,13.97,0,34.07
frame_0025.jpg,15.06,19.93,5.14,10.72,0,37.15
frame_0026.jpg,3.63,19.41,17.65,25.45,1,35.16
frame_0027.jpg,2.75,17.37,13.61,20.28,1,29.3
frame_0028.jpg,3.63,18.94,16.92,22.76,1,33.01
frame_0029.jpg,7.81,22.28,13.83,23.0,1,39.85
frame_0030.jpg,6.49,20.02,13.93,21.86,1,36.07
frame_0031.jpg,9.02,18.2,12.21,19.17,1,35.45
frame_0032.jpg,7.95,16.73,7.54,16.64,0,31.59
frame_0033.jpg,8.71,17.12,4.3,13.05,0,30.25
frame_0034.jpg,10.67,15.12,1.39,10.22,0,28.82
frame_0035.jpg,12.05,24.03,1.47,12.15,1,38.17
frame_0036.jpg,10.9,18.88,4.54,7.06,0,29.76
frame_0037.jpg,10.98,18.29,6.26,7.99,0,30.03
frame_0038.jpg,10.46,23.9,0.37,9.62,1,34.79
frame_0039.jpg,10.57,20.5,0.55,6.27,0,30.13
frame_0040.jpg,12.97,20.21,2.51,7.94,0,33.42
frame_0041.jpg,11.68,21.77,4.12,8.32,0,33.55
frame_0042.jpg,12.66,20.0,1.9,8.27,0,33.18
frame_0043.jpg,13.24,20.15,1.47,6.97,0,33.0
frame_0044.jpg,14.58,17.32,0.43,6.0,0,31.57
frame_0045.jpg,13.28,19.2,1.11,7.64,0,32.78
frame_0046.jpg,13.98,18.57,0.99,5.41,0,31.52
frame_0047.jpg,15.12,22.15,4.58,9.62,1,38.14
frame_0048.jpg,14.47,21.23,0.67,6.93,0,35.01
frame_0049.jpg,12.35,20.47,5.83,9.54,0,34.06
frame_0050.jpg,9.71,27.23,9.35,18.96,1,42.77
frame_0051.jpg,10.04,21.51,11.45,18.67,1,38.62
frame_0052.jpg,10.16,21.29,13.28,20.38,1,39.72
frame_0053.jpg,7.77,17.7,9.74,17.13,0,32.47
frame_0054.jpg,3.62,6.4,5.83,4.32,0,11.31
frame_0055.jpg,3.81,4.18,6.06,3.32,0,9.16
frame_0056.jpg,2.76,3.33,5.12,3.03,0,7.28
