frame,smile_vertical_asymmetry_norm,mouth_horizontal_asymmetry_norm,eye_horizontal_asymmetry_norm,general_symmetry_score_norm,facial_droop_flag,severity_score
10.jpeg,0.0654,0.0875,0.018,0.0598,0,17.09
11.jpeg,0.0523,0.075,0.1408,0.135,0,19.85
13.jpeg,0.0325,0.0425,0.005,0.03,0,8.43
14.jpeg,0.0269,0.0045,0.0883,0.076,0,8.09
16.jpeg,0.0513,0.1588,0.0876,0.1667,0,28.15
18.jpeg,0.0081,0.0207,0.0422,0.0391,0,4.97
19.jpeg,0.0278,0.1702,0.0018,0.1574,0,26.04
3.jpeg,0.0115,0.0466,0.0229,0.0614,0,8.74
4.jpeg,0.0511,0.1571,0.0153,0.1231,0,25.1
6.jpeg,0.0105,0.0305,0.0409,0.0426,0,6.18
7.jpeg,0.0651,0.0257,0.0769,0.0859,0,14.16
8.jpeg,0.0145,0.1474,0.0457,0.1457,0,22.22
face_000_208485922_10s_south_asian_male.jpeg,0.0002,0.0304,0.0256,0.0483,0,5.52
face_003_3506416031_20s_european_female.jpeg,0.0123,0.0836,0.0537,0.0764,0,12.6
face_004_2699508108_20s_southeast_asian_male.jpeg,0.0053,0.017,0.0162,0.0202,0,3.16
face_004_3960226630_60s_european_female.jpeg,0.0081,0.0765,0.057,0.0899,0,12.54
face_005_429000035_50s_east_asian_male.jpeg,0.0033,0.0337,0.072,0.0828,0,8.37
face_005_534804226_40s_european_male.jpeg,0.0048,0.0021,0.0438,0.0347,0,2.95
face_006_1170389214_60s_european_male.jpeg,0.0016,0.1349,0.0785,0.1531,0,20.48
face_006_1959441354_40s_southeast_asian_female.jpeg,0.0188,0.1019,0.127,0.1693,0,20.8
face_007_4113207072_50s_european_female.jpeg,0.003,0.0763,0.0547,0.0894,0,11.98
face_007_601857210_20s_south_asian_male.jpeg,0.011,0.0122,0.0259,0.026,0,3.75
face_008_1172666397_30s_latin_american_male.jpeg,0.0023,0.0244,0.0061,0.0426,0,4.91
face_008_481365524_20s_european_male.jpeg,0.0027,0.0634,0.0928,0.1201,0,13.04
face_010_3393361687_10s_south_asian_male.jpeg,0.0071,0.0073,0.0217,0.027,0,3.06
face_011_2809149213_10s_southeast_asian_male.jpeg,0.0065,0.0688,0.0781,0.1159,0,13.54
face_013_4058994944_20s_european_male.jpeg,0.0096,0.015,0.041,0.0673,0,6.57
face_014_2347635944_60s_southeast_asian_male.jpeg,0.003,0.0453,0.031,0.0548,0,7.35
face_015_46681391_20s_european_male.jpeg,0.0027,0.0271,0.0452,0.0615,0,6.4
face_016_3493115597_30s_european_male.jpeg,0.0056,0.0249,0.0363,0.0403,0,5.11
face_017_602493700_30s_latin_american_male.jpeg,0.0016,0.0605,0.0743,0.0857,0,10.41
face_018_192742797_20s_east_asian_male.jpeg,0.0071,0.0946,0.0869,0.1574,0,18.29
face_019_171770627_20s_african_male.jpeg,0.0155,0.0647,0.0553,0.086,0,12.14
face_024_2501703431_50s_east_asian_male.jpeg,0.0076,0.0814,0.0781,0.1172,0,14.69
face_025_2332781768_10s_east_asian_male.jpeg,0.0031,0.0703,0.077,0.1129,0,13.11
face_027_278786003_10s_european_male.jpeg,0.0109,0.0033,0.0223,0.0252,0,3.02
face_028_504042652_30s_west_asian_male.jpeg,0.0032,0.0775,0.1156,0.158,0,16.67
face_030_974532065_40s_european_male.jpeg,0.0033,0.1295,0.0937,0.1753,0,21.73
face_031_2510800668_10s_latin_american_male.jpeg,0.0047,0.075,0.0991,0.1182,0,13.98
face_032_1223195267_30s_european_male.jpeg,0.0079,0.0578,0.0918,0.1077,0,12.3
face_034_4251346726_30s_east_asian_male.jpeg,0.0062,0.0991,0.1345,0.1757,0,19.76
face_035_1224451924_10s_european_male.jpeg,0.0008,0.0298,0.0439,0.0642,0,6.6
face_036_695713708_10s_european_male.jpeg,0.0029,0.0354,0.055,0.0558,0,6.67
face_040_1562023840_20s_european_male.jpeg,0.0011,0.0735,0.1145,0.1382,0,14.83
face_042_2992326556_20s_south_asian_male.jpeg,0.0064,0.0265,0.0328,0.0385,0,5.19
face_044_2586626011_40s_european_male.jpeg,0.0078,0.0493,0.053,0.0757,0,9.52
face_045_303647922_20s_european_male.jpeg,0.0103,0.1213,0.1212,0.1631,0,20.99
face_046_3447706554_50s_east_asian_male.jpeg,0.0048,0.0983,0.1328,0.1607,0,18.56
face_047_3147254798_60s_european_male.jpeg,0.0052,0.0012,0.0335,0.0175,0,1.78
face_048_3058532532_40s_european_male.jpeg,0.0058,0.0517,0.0388,0.0621,0,8.6
face_049_116378635_50s_latin_american_male.jpeg,0.0025,0.0053,0.0389,0.0356,0,3.02
face_056_271444034_20s_west_asian_male.jpeg,0.0012,0.0484,0.0507,0.0597,0,7.73
face_060_199498932_10s_european_male.jpeg,0.0076,0.0827,0.0685,0.09,0,12.96
face_062_1142478312_40s_african_male.jpeg,0.0125,0.0583,0.0838,0.1029,0,12.48
face_064_3285798469_40s_south_asian_male.jpeg,0.0084,0.0956,0.1279,0.171,0,19.41
face_065_1550892612_50s_european_male.jpeg,0.0031,0.0482,0.016,0.0362,0,6.34
face_066_1111231948_40s_southeast_asian_male.jpeg,0.016,0.0184,0.0189,0.0203,0,4.34
face_067_2938713866_30s_south_asian_male.jpeg,0.0064,0.0518,0.0418,0.066,0,8.93
face_068_137724204_10s_latin_american_male.jpeg,0.0036,0.0246,0.0085,0.0175,0,3.37
face_070_3000664325_20s_south_asian_male.jpeg,0.0073,0.0565,0.0419,0.0637,0,9.21
face_071_428190108_40s_latin_american_male.jpeg,0.0014,0.1202,0.0679,0.1306,0,17.87
face_072_299460379_40s_european_male.jpeg,0.0096,0.0733,0.1158,0.1543,0,16.75
face_073_4242232257_30s_west_asian_male.jpeg,0.007,0.0366,0.0901,0.09,0,9.44
face_075_3297991501_40s_west_asian_male.jpeg,0.0056,0.0237,0.0226,0.0303,0,4.36
face_076_3999315250_10s_southeast_asian_male.jpeg,0.0144,0.0797,0.0863,0.1284,0,15.97
face_077_4119499802_50s_latin_american_male.jpeg,0.0057,0.0658,0.0409,0.0702,0,10.19
face_081_3825721647_20s_african_male.jpeg,0.0127,0.0679,0.0572,0.079,0,11.63
face_083_3484431948_60s_east_asian_male.jpeg,0.0047,0.0673,0.1208,0.1437,0,15.1
face_084_952025182_10s_southeast_asian_male.jpeg,0.0074,0.0917,0.1305,0.1689,0,18.87
face_085_4152980832_40s_latin_american_male.jpeg,0.0056,0.1072,0.0897,0.1663,0,19.68
face_086_1058001032_10s_latin_american_male.jpeg,0.0081,0.0112,0.0392,0.0343,0,3.93
face_089_60966472_30s_latin_american_male.jpeg,0.0004,0.0749,0.1097,0.1499,0,15.65
face_096_841537049_30s_southeast_asian_male.jpeg,0.0112,0.0095,0.0241,0.0221,0,3.3
face_098_2854119803_20s_european_male.jpeg,0.0138,0.0103,0.0175,0.0288,0,4.07
